Word(s),Spoken Form (If Different)
under-documented,under documented
admin
Cisco
Citrix
VPN
DNS
Minecraft
npm
ubuntu
linux
json
stringify
hover
doc
min
spline
xray
arduino
todo  
ref
div
ls
theta
oshcut
oshlib
app
arcify
collinear
queue
queued
queuing
yeah
toggle
enthalpy
denest
denesting
